Menu ID,Name,Price,Category,Ingredients used
16,Grilled Chicken Club Sandwich,5.59,Entree,Sesame Bread 1 | Chicken Breast 1 | Lettuce 1 | Tomato 0.5 | Honey BBQ sauce 1 | Colby Jack Cheese 1 | Bacon 0.125
17,Grilled Chicken Club Sandwich - Combo,8.39,Entree,Sesame Bread 1 | Chicken Breast 1 | Lettuce 1 | Tomato 0.5 | Honey BBQ sauce 1 | Colby Jack Cheese 1 | Bacon 0.125 | Waffle Fries 0.125 | Coca-cola 0.125
18,Grilled Chicken Cool Wrap,5.19,Entree,Flat bread 1 | Lettuce 1 | Cheddar Cheese 0.05 | Avocado Lime Ranch 1
19,Grilled Chicken Cool Wrap - Combo,8.15,Entree,Flat bread 1 | Lettuce 1 | Cheddar Cheese 0.05 | Avocado Lime Ranch 1 | Waffle Fries 0.25 | Coca-cola 0.125
20,Greek Yogurt Parfait,2.45,Breakfast,Greek Yogurt 0.125 | Granola 0.05 | Cookie crumbs 0.05 | Fresh berries 0.05
21,Fruit Cup Small,2.05,Breakfast,Mixed fruits 0.125
22,Fruit Cup Medium,2.75,Breakfast,Mixed fruits 0.25
23,Fruit Cup Large,4.25,Breakfast,Mixed fruits 0.5
24,Chicken Soup,2.65,Sides,Chicken noodle soup 1
25,Waffle Potato Fries - Small,1.55,Sides,Waffle Fries 0.125
26,Waffle Potato Fries - Medium,1.65,Sides,Waffle Fries 0.25
27,Waffle Potato Fries - Large,1.85,Sides,Waffle Fries 0.5
28,Chick-n-Minis,4.99,Breakfast,Chicken nuggets 4 | Yeast roll 4
29,Hash Browns,1.69,Breakfast,Hash Brown 0.125
30,Chicken Biscuit,2.26,Breakfast,Buttermilk biscuit 1 | Chicken breast 1
31,Spicy Chicken Biscuit,2.5,Breakfast,Buttermilk biscuit 1 | Chicken breast 1
32,Hash Brown Scramble Bowl,5.59,Breakfast,Chicken nuggets 4 | Hash Brown 0.125 | Egg 1 | Cheddar Cheese 0.05 | Jalapeno salsa 1
33,Hash Brown Scramble Burrito,5.59,Breakfast,Chicken nuggets 4 | Hash Brown 0.125 | Egg 1 | Cheddar Cheese 0.05 | Jalapeno salsa 1 | Tortilla 1
34,Chicken and Egg and Cheese Biscuit,4.99,Breakfast,Buttermilk biscuit 1 | Chicken Breast 1 | Peanut Oil 0.03125 | Egg 1 | American Cheese 1
35,Breakfast Filets,2.19,Breakfast,Filet 1
36,Buttered Biscuit,1.59,Breakfast,Buttermilk biscuit 1 | Butter 0.0325
37,Egg White Grill,3.64,Breakfast,English muffin 1 | Egg 1 | American Cheese 1
38,Bacon Egg & Cheese Biscuit,4.35,Breakfast,Buttermilk biscuit 1 | Bacon 0.125 | Peanut Oil 0.03125 | Egg 1 | American Cheese 1
39,English Muffin,1.95,Breakfast,English muffin 1
40,Sausage Egg & Cheese Biscuit,4.65,Breakfast,Buttermilk biscuit 1 | Sausage 1 | Peanut Oil 0.03125 | Egg 1 | American Cheese 1
41,Chicken Egg & Cheese Muffin,5.29,Breakfast,English muffin 1 | Chicken Breast 1 | Peanut Oil 0.03125 | Egg 1 | American Cheese 1
42,Bacon Egg & Cheese Muffin,4.65,Breakfast,English muffin 1 | Bacon 0.125 | Peanut Oil 0.03125 | Egg 1 | American Cheese 1
43,Kale Crunch,2.79,Sides,Kale crunch 1
44,Waffle Potato Chips,2.59,Sides,Waffle potato chips 1
45,Buddy Fruits Apple Sauce,2.85,Breakfast,Apple sauce 1
46,Coca-Cola,2.45,Drinks,Coca-cola 0.125
47,Diet Coke,2.45,Drinks,Diet coke 0.125
48,Dr Pepper,2.45,Drinks,Dr Pepper 0.125
49,Iced Coffee,3.85,Drinks,Iced coffee 0.125
50,Sprite,2.45,Drinks,Sprite 0.125
51,Freshly Brewed Iced Tea Sweetened,2.45,Drinks,Iced-tea sweetened 0.125
52,Gallon Beverage,15.59,Drinks,Gallon beverage 1
53,Simply Orange,3.59,Drinks,Simply orange 0.125
54,Lemonade,2.89,Drinks,Lemonade 0.125
55,Diet Lemonade,2.89,Drinks,Diet lemonade 0.125
56,Freshly Brewed Iced Tea Unsweetened,2.45,Drinks,Iced-tea unsweetened 0.125
57,Sunjoy (1/2 Sweet Tea 1/2 Lemonade),2.89,Drinks,Iced-tea sweetened 0.125 | Lemonade 0.125
58,Sunjoy (1/2 Sweet Tea 1/2 Diet Lemonade),2.89,Drinks,Iced-tea sweetened 0.125 | Diet lemonade 0.125
59,1/2 Sweet Tea 1/2 Unsweet Tea,2.45,Drinks,Iced-tea sweetened 0.125 | Iced-tea unsweetened 0.125
60,1% Chocolate Milk,1.99,Drinks,Chocolate milk 0.125
61,Honest Kids Apple Juice,1.99,Drinks,Honest Kids Apple Juice 1
62,Sunjoy (1/2 Unsweet Tea 1/2 Diet Lemonade),2.89,Drinks,Iced-tea unsweetened 0.125 | Diet lemonade 0.125
63,Sunjoy (1/2 Unsweet Tea 1/2 Lemonade),2.89,Drinks,Iced-tea unsweetened 0.125 | Lemonade 0.125
64,1/2 Lemonade 1/2 Diet Lemonade,2.89,Drinks,Diet lemonade 0.125 | Lemonade 0.125
65,Dasani Bottled Water,2.59,Drinks,Dasani Bottled water 1
66,Cobb Salad,11.69,Salads,Cobb salad 1
67,Spicy Southwest Salad,11.95,Salads,Southwest salad 1
68,Grilled Market Salad,7.19,Salads,Market salad 1
69,Grilled Market Salad w/ Chick-fil-A Filet,8.19,Salads,Market salad 1 | Filet 1
70,Grilled Market Salad w/ Chick-n-Strips,8.19,Salads,Market salad 1 | Chicken strips 1
71,Grilled Market Salad w/ Grilled Filet,8.19,Salads,Market salad 1 | Filet 1
72,Grilled Market Salad w/ Grilled Nuggets,8.19,Salads,Market salad 1 | Chicken nuggets 1
73,Grilled Market Salad w/ Nuggets,8.19,Salads,Market salad 1 | Chicken nuggets 1
74,Grilled Market Salad w/ Spicy Filet,8.19,Salads,Market salad 1 | Filet 1
75,Grilled Market Salad w/ Spicy Grilled Filet,8.19,Salads,Market salad 1 | Filet 1
76,Frosted Coffee,5.05,Treats,Frosted coffee 0.125
77,Cookies & Cream Milkshake,5.19,Treats,Cookies and Cream milkshake 0.125
78,Chocolate Fudge Brownie,2.59,Treats,Chocolate fudge brownie 1
79,Chocolate Chunk Cookie,1.89,Treats,Chocolate chunk cookie 1
80,Strawberry Milkshake,5.19,Treats,Strawberry milkshake 0.125
81,Autumn Spice Milkshake,5.59,Treats,Autumn spice milkshake 0.125
82,Frosted Lemonade,5.05,Treats,Lemonade 0.125
83,Chocolate Milkshake,5.19,Treats,Chocolate milkshake 0.125
84,Vanilla Milkshake,5.19,Treats,Vanilla milkshake 0.125
85,Nuggets - 4 Pc.,3.35,Kids Meals,Chicken nuggets 4
86,Nuggets - 6 Pc.,4.05,Kids Meals,Chicken nuggets 6
87,Grilled Nuggets - 4 Pc.,3.75,Kids Meals,Chicken nuggets 4
88,Grilled Nuggets - 6 Pc.,4.65,Kids Meals,Chicken nuggets 6
89,Chick-n-Strips 1 Pc.,3.05,Kids Meals,Chicken strips 1
90,Chick-n-Strips 2 Pc.,4.09,Kids Meals,Chicken strips 2
